#Gn	Domain	Start	End	Eval
ABCA6	ABC_tran	1304	1440	2.8e-23
ABCA6	ABC_tran	497	642	8.1e-31
ABCA7	AAA	1921	1986	7.9e-07
ABCA7	AAA	935	997	2e-06
ABCA7	ABC2_membrane	1466	1749	4.8e-44
ABCA7	ABC2_membrane	551	750	5.5e-18
ABCA7	ABC_tran	1812	1953	6.5e-18
ABCA7	ABC_tran	824	968	7.9e-25
ABCA7	DUF4162	2007	2098	1.6
ABCA8	AAA	1414	1476	7.9e-05
ABCA8	ABC2_membrane	38	418	4.4e-26
ABCA8	ABC2_membrane	941	1180	2.2e-11
ABCA8	ABC_tran	1307	1445	9e-26
ABCA8	ABC_tran	499	645	1.2e-31
ABCA8	DUF4162	733	789	3.6
ABCA9	AAA	1411	1479	2.4e-05
ABCA9	ABC2_membrane	32	419	2.7e-28
ABCA9	ABC2_membrane	954	1219	6.1e-13
ABCA9	ABC_tran	1310	1448	2.1e-25
ABCA9	ABC_tran	500	646	5e-29
ABCB10	ABC_membrane	175	438	3.9e-59
ABCB10	ABC_tran	511	662	1.9e-34
ABCB10	SMC_N	633	702	4.6e-05
ABCB11	ABC_membrane	63	370	9.9e-69
ABCB11	ABC_membrane	757	1026	1.2e-56
ABCB11	ABC_tran	1096	1247	1.1e-34
ABCB11	ABC_tran	438	586	1.1e-34
ABCB11	RsgA_GTPase	1071	1127	0.041
ABCB11	RsgA_GTPase	404	469	0.0045
ABCB1	ABC_membrane	52	343	6.5e-96
ABCB1	ABC_membrane	712	986	2.6e-77
ABCB1	ABC_tran	1053	1204	1.4e-35
ABCB1	ABC_tran	410	559	3.4e-37
ABCB1	RsgA_GTPase	1006	1084	0.019
ABCB1	SMC_N	512	600	3.2e-05
ABCB4	ABC_membrane	58	345	3.6e-91
ABCB4	ABC_membrane	712	985	5.4e-76
ABCB4	ABC_tran	1052	1210	1.2e-32
ABCB4	ABC_tran	412	561	9.7e-38
ABCB4	RsgA_GTPase	377	443	0.022
ABCB5	ABC_membrane	48	333	8.8e-76
ABCB5	ABC_membrane	693	965	2.5e-59
ABCB5	ABC_tran	1033	1184	6.8e-35
ABCB5	ABC_tran	404	553	1.6e-35
ABCB5	SMC_N	524	595	2e-05
ABCB6	ABC_membrane	274	544	6.3e-32
ABCB6	ABC_tran	606	755	1.5e-34
ABCB6	MTABC_N	6	255	2.7e-78
ABCB7	ABC_membrane	149	423	1.2e-36
ABCB7	ABC_tran	488	637	2.5e-33
ABCB8	ABC_membrane	149	424	1.4e-52
ABCB8	ABC_tran	490	640	1.7e-31
ABCB8	SMC_N	611	681	0.00024
ABCB9	ABC_membrane	190	454	2.6e-59
ABCB9	ABC_tran	522	671	2.8e-32
ABCB9	SMC_N	642	712	5.6e-06
ABCC10	ABC_membrane	288	550	9.2e-18
ABCC10	ABC_membrane	887	1196	4.6e-31
ABCC10	ABC_tran	1263	1410	5.6e-32
ABCC10	ABC_tran	620	753	2.1e-19
ABCC10	SMC_N	707	795	1.5
ABCC11	ABC_membrane	218	427	1.6e-14
ABCC11	ABC_membrane	807	1086	9.6e-34
ABCC11	ABC_tran	1158	1306	1.4e-28
ABCC11	ABC_tran	527	661	2.9e-18
ABCC11	SMC_N	1277	1346	0.012
ABCC11	SMC_N	633	702	3.2
ABCC12	ABC_membrane	128	387	3.2e-20
ABCC12	ABC_membrane	798	1012	3.4e-25
ABCC12	ABC_tran	1137	1285	7.2e-28
ABCC12	ABC_tran	496	630	3.5e-20
ABCC12	SMC_N	1255	1326	0.0049
ABCC1	ABC_ATPase	1406	1499	0.4
ABCC1	ABC_membrane	326	596	3.7e-46
ABCC1	ABC_membrane	976	1242	1.2e-55
ABCC1	ABC_tran	1310	1458	1.2e-28
ABCC1	ABC_tran	661	795	4.3e-21
ABCC2	ABC_membrane	324	593	2.5e-35
ABCC2	ABC_membrane	979	1229	3.2e-42
ABCC2	ABC_tran	1318	1465	8.3e-26
ABCC2	ABC_tran	655	788	8.5e-20
ABCC2	SMC_N	1418	1505	0.012
ABCC3	ABC_membrane	312	581	3.4e-31
ABCC3	ABC_membrane	972	1239	1.6e-44
ABCC3	ABC_tran	1306	1454	4.7e-27
ABCC3	ABC_tran	644	778	2.9e-21
ABCC4	ABC_membrane	715	991	2.7e-46
ABCC4	ABC_membrane	94	358	1.9e-30
ABCC4	ABC_tran	1058	1205	3.2e-30
ABCC4	ABC_tran	428	562	1.7e-22
ABCC5	ABC_membrane	179	446	6.4e-17
ABCC5	ABC_membrane	860	1141	7.4e-35
ABCC5	ABC_tran	1210	1358	1.1e-30
ABCC5	ABC_tran	578	712	6.1e-19
ABCC5	SMC_N	1320	1400	0.2
ABCC5	SMC_N	652	756	0.013
ABCC6	ABC_membrane	312	578	6.8e-26
ABCC6	ABC_membrane	948	1214	3.3e-31
ABCC6	ABC_tran	1283	1430	3.9e-31
ABCC6	ABC_tran	646	780	3.2e-20
ABCC6	MTABC_N	27	148	0.00018
ABCC6	SMC_N	1401	1471	0.39
ABCC8	ABC_membrane	1014	1292	5.4e-48
ABCC8	ABC_membrane	304	590	6.5e-38
ABCC8	ABC_tran	1361	1509	4e-23
ABCC8	ABC_tran	696	856	4.8e-19
ABCC8	MTABC_N	5	157	0.00014
ABCC8	SMC_N	1480	1549	0.021
ABCC9	ABC_membrane	302	585	3.1e-32
ABCC9	ABC_membrane	994	1252	4.2e-37
ABCC9	ABC_tran	1329	1477	2.5e-24
ABCC9	ABC_tran	688	839	3.7e-24
ABCC9	SMC_N	1448	1512	0.9
ABCD1	ABC_membrane	78	352	3.3e-98
ABCD1	ABC_tran	492	633	2.1e-16
ABCD2	ABC_membrane	91	365	2.1e-102
ABCD2	ABC_tran	496	637	3.4e-18
ABCD3	ABC_membrane	70	338	6.8e-99
ABCD3	ABC_tran	457	599	4.1e-17
ABCD4	ABC_membrane	27	294	5.1e-85
ABCD4	ABC_tran	405	552	2.9e-17
ABCE1	ABC_tran	102	244	4.5e-16
ABCE1	ABC_tran	367	490	1.2e-18
ABCE1	Fer4	49	70	1.3e-07
ABCE1	RLI	6	37	4.3e-14
ABCE1	SMC_N	213	271	0.029
ABCF1	AAA	469	511	0.71
ABCF1	ABC_tran	321	480	8.5e-21
ABCF1	ABC_tran	642	771	2.3e-22
ABCF1	ABC_tran_Xtn	519	594	1.2e-05
ABCF1	SMC_N	710	813	0.00044
ABCF2	ABC_tran	101	257	2.5e-19
ABCF2	ABC_tran	413	545	4.2e-25
ABCF2	ABC_tran_Xtn	296	368	3.6e-22
ABCF2	SMC_N	516	587	0.7
ABCF3	AAA	329	387	0.021
ABCF3	ABC_tran	196	356	1e-18
ABCF3	ABC_tran	510	639	5.5e-18
ABCF3	ABC_tran_Xtn	395	474	1.6e-23
ABCG1	AAA	216	277	0.059
ABCG1	ABC2_membrane	274	336	3e-09
ABCG1	ABC2_membrane	403	611	2.4e-47
ABCG1	ABC_tran	101	245	7.3e-28
ABCG2	AAA	203	245	0.26
ABCG2	ABC2_membrane	243	302	4e-11
ABCG2	ABC2_membrane	376	586	1.1e-40
ABCG2	ABC_tran	72	213	3.4e-21
ABCG4	AAA	201	261	0.0031
ABCG4	ABC2_membrane	258	316	2.8e-09
ABCG4	ABC2_membrane	372	581	4.3e-48
ABCG4	ABC_tran	86	229	9.5e-25
ABCG5	AAA	190	251	0.21
ABCG5	ABC2_membrane	250	332	4.4e-07
ABCG5	ABC2_membrane	368	580	1.8e-20
ABCG5	ABC_tran	69	220	1.9e-26
ABCG8	ABC2_membrane	270	326	6.8e-09
ABCG8	ABC2_membrane	397	608	7.7e-34
ABCG8	ABC_tran	89	241	1.1e-28
ABHD10	Abhydrolase	78	178	6.2e-09
ABHD10	Peptidase_S9	148	285	3.7e-06
ABHD11	Abhydrolase	69	309	1.4e-24
ABHD12B	Hydrolase	141	260	2.1e-16
ABHD12	Hydrolase	170	285	1.2e-13
ABHD12	Hydrolase	316	349	0.0063
ABHD13	Hydrolase	116	226	8.9e-10
ABHD13	Hydrolase	254	299	0.0022
ABHD14A	Abhydrolase	199	254	0.0002
ABHD14A	Abhydrolase	97	196	2.5e-07
ABHD14B	Abhydrolase	149	195	0.0023
ABHD14B	Abhydrolase	35	119	2e-08
ABHD15	Hydrolase	213	368	4e-06
ABHD16A	Abhydrolase	281	407	2.4e-09
ABHD16B	Abhydrolase	174	298	9.3e-10
ABHD17A	Hydrolase	111	216	8.4e-07
ABHD17A	Hydrolase	239	284	0.00025
ABHD17B	Hydrolase	90	196	2.9e-06
ABHD17B	Peptidase_S9	140	264	2.7e-05
ABHD17C	Hydrolase	132	237	1.5e-06
ABHD17C	Peptidase_S9	181	294	0.00012
ABHD17C	UPF0227	263	322	0.017
ABHD18	DUF2048	16	414	4.5e-148
ABHD1	Abhydrolase	123	364	6e-15
ABHD2	Abhydrolase	128	382	6.9e-27
ABHD3	Abhydrolase	140	248	7.5e-08
ABHD4	Abhydrolase	70	323	1.2e-23
ABHD5	Abhydrolase	77	184	6.1e-19
ABHD6	Abhydrolase	72	313	2.7e-25
ABHD8	Abhydrolase	177	279	6.8e-18
ABI1	Abi_HHR	93	170	4.6e-36
ABI1	SH3	452	496	3.8e-16
ABI2	Abi_HHR	93	162	1.7e-34
ABI2	SH3	458	506	6.6e-16
ABI3	Abi_HHR	94	165	6.3e-28
ABI3BP	fn3	158	202	0.00028
ABI3BP	fn3	840	921	1.2e-09
ABI3BP	Pur_ac_phosph_N	186	218	0.058
ABI3	SH3	316	363	3.3e-12
ABITRAM	GCV_H	111	171	3.7e-06
ABL1	F_actin_bind	1026	1130	6.3e-28
ABL1	PK_Tyr_Ser-Thr	242	492	2.4e-99
ABL1	SH2	127	202	2.9e-23
ABL1	SH3	67	113	2.7e-12
ABL2	F_actin_bind	1083	1182	1.7e-29
ABL2	NHS	648	697	0.0036
ABL2	PK_Tyr_Ser-Thr	288	538	1.1e-97
ABL2	SH2	173	248	4.8e-24
ABL2	SH3	113	159	7.3e-12
ABLIM1	AbLIM_anchor	349	728	1.3e-162
ABLIM1	LIM	158	209	3.1e-10
ABLIM1	LIM	226	279	5.5e-15
ABLIM1	LIM	285	326	9.6e-08
ABLIM1	LIM	99	153	5.3e-10
ABLIM1	VHP	743	778	3.8e-14
ABLIM2	AbLIM_anchor	276	450	1.5e-82
ABLIM2	AbLIM_anchor	462	561	4.6e-22
ABLIM2	LIM	153	208	1.8e-14
ABLIM2	LIM	212	254	1.1e-06
ABLIM2	LIM	24	77	2.7e-09
ABLIM2	LIM	83	135	1.9e-10
ABLIM2	VHP	576	611	9.4e-17
ABLIM3	AbLIM_anchor	273	633	2.6e-135
ABLIM3	LIM	151	205	2.1e-14
ABLIM3	LIM	210	263	1.8e-07
ABLIM3	LIM	23	76	4.9e-09
ABLIM3	LIM	82	136	1.6e-09
ABLIM3	VHP	648	683	1.3e-15
ABO	Glyco_transf	41	353	1.4e-167
ABRACL	Costars	2	79	3.5e-30
ABRA	Costars	305	380	1.2e-30
ABRAXAS1	HMMR_C	204	296	0.018
ABRAXAS2	Cluap1	175	263	0.00011
ABR	C2	506	604	2e-06
ABR	PH	300	369	7.5e-07
ABR	PH	334	458	1.7e-09
ABR	RhoGAP	661	809	1.7e-47
ABR	RhoGEF	99	282	3.1e-32
ABTB1	Ank	6	64	4.1e-08
ABTB1	BACK	382	424	0.0027
ABTB1	BTB	105	206	7.9e-19
ABTB1	BTB	271	374	1e-17
ABTB2	Ank	500	594	1.9e-10
ABTB2	Ank	567	633	1.5e-07
ABTB2	BTB	838	946	3.6e-24
ACAA1	Thiolase_C	300	420	9.1e-49
ACAA1	Thiolase_N	38	291	1.5e-87
ACAA2	Thiolase_C	274	394	7e-51
ACAA2	Thiolase_N	7	266	1.1e-96
ACACA	ACC_central	819	1569	1.6e-274
ACACA	Biotin_carb_C	508	614	3.6e-22
ACACA	Biotin_carb_N	118	237	3.7e-31
ACACA	Biotin_lipoyl	753	818	7.2e-17
ACACA	Carboxyl_trans	1669	2222	2.4e-185
ACACA	CPSase_L_D2	288	471	5.7e-54
ACACB	ACC_central	962	1688	3e-274
ACACB	Biotin_carb_C	651	757	2e-22
ACACB	Biotin_carb_N	260	379	3.6e-31
ACACB	Biotin_lipoyl	896	961	2.3e-15
ACACB	Carboxyl_trans	1780	2333	7.7e-188
ACACB	CPSase_L_D2	431	614	9.2e-49
ACAD10	Acyl-CoA_dh	904	1052	7.8e-35
ACAD10	Acyl-CoA_dh_M	791	892	1.9e-18
ACAD10	Acyl-CoA_dh_N	664	787	1.3e-11
ACAD10	APH	290	502	4.8e-51
ACAD10	HAD	132	231	3.6e-10
ACAD11	Acyl-CoA_dh	618	766	7.3e-33
ACAD11	Acyl-CoA_dh_M	503	595	5.7e-19
ACAD11	Acyl-CoA_dh_N	382	498	6.3e-10
ACAD11	APH	46	265	6.4e-42
ACAD8	Acyl-CoA_dh	263	412	4e-42
ACAD8	Acyl-CoA_dh_M	157	251	1.5e-25
ACAD8	Acyl-CoA_dh_N	42	153	3.3e-28
ACAD9	Acyl-CoA_dh	290	437	1.9e-39
ACAD9	Acyl-CoA_dh	518	572	6.4
ACAD9	Acyl-CoA_dh_M	177	277	1.9e-25
ACAD9	Acyl-CoA_dh_N	69	173	7.6e-24
ACADL	Acyl-CoA_dh	278	426	2.2e-41
ACADL	Acyl-CoA_dh_M	169	265	1e-26
ACADL	Acyl-CoA_dh_N	54	164	2.9e-30
ACADM	Acyl-CoA_dh	267	414	7.7e-49
ACADM	Acyl-CoA_dh_M	157	255	5.4e-27
ACADM	Acyl-CoA_dh_N	42	150	1.6e-28
ACADS	Acyl-CoA_dh	258	406	4e-49
ACADS	Acyl-CoA_dh_M	151	246	4.8e-27
ACADS	Acyl-CoA_dh_N	36	147	2e-36
ACADSB	Acyl-CoA_dh	280	428	7e-50
ACADSB	Acyl-CoA_dh_M	173	268	5.5e-24
ACADSB	Acyl-CoA_dh_N	58	168	2.9e-29
ACADVL	Acyl-CoA_dh	327	473	2e-39
ACADVL	Acyl-CoA_dh	538	635	0.82
ACADVL	Acyl-CoA_dh_M	213	315	4.4e-23
ACADVL	Acyl-CoA_dh_N	103	209	1.4e-23
ACAN	EGF	2283	2312	0.00046
ACAN	Lectin_C	2338	2442	3.4e-20
ACAN	Sushi	2447	2503	1.7e-08
ACAN	V-set	35	150	9.2e-10
ACAN	Xlink	154	247	1.6e-32
ACAN	Xlink	254	349	1.5e-27
ACAN	Xlink	478	572	3.3e-32
ACAN	Xlink	580	674	7e-26
ACAP1	Ank	588	670	7.9e-08
ACAP1	ArfGap	407	521	3.6e-38
ACAP1	BAR	5	238	2.1e-66
ACAP1	PH	267	359	1.2e-14
ACAP2	Ank	610	704	1.9e-08
ACAP2	ArfGap	401	515	1e-39
ACAP2	BAR	5	238	3.2e-88
ACAP2	PH	268	360	1.6e-14
ACAP3	Ank	689	743	7.4e-09
ACAP3	Ank	735	788	0.04
ACAP3	ArfGap	404	520	6.6e-40
ACAP3	BAR	3	236	2.3e-89
ACAP3	PH	269	362	5.1e-14
ACAT1	Thiolase_C	307	426	1.2e-45
ACAT1	Thiolase_N	42	298	9.5e-97
ACAT2	Thiolase_C	274	396	3.6e-50
ACAT2	Thiolase_N	8	267	4e-94
ACBD3	ACBP	85	165	1e-13
ACBD3	GOLD	397	527	8.1e-72
ACBD4	ACBP	13	90	3.4e-26
ACBD5	ACBP	43	120	6e-26
ACBD6	ACBP	44	118	4.1e-22
ACBD6	Ank	167	255	1.7e-16
ACBD7	ACBP	4	78	4.4e-25
ACCS	Aminotran_1	98	460	3.5e-57
ACCSL	Aminotran_1	194	528	1.9e-48
ACD	TPP1	11	120	1.1e-21
ACE2	Collectrin	617	770	2.6e-73
ACE2	Peptidase_M2	21	606	6.4e-231
ACE	Peptidase_M2	41	623	1.5e-263
ACE	Peptidase_M2	644	1221	2.6e-266
ACER1	Ceramidase	7	255	1.2e-52
ACER2	Ceramidase	13	261	8.3e-54
ACER3	Ceramidase	12	251	2.9e-76
ACHE	AChE_tetra	578	611	2.2e-19
ACHE	COesterase	39	563	1.2e-172
ACIN1	RSB_motif	1154	1247	3.4e-25
ACIN1	SAP	72	106	5.4e-08
ACKR2	7tm	63	312	4.4e-44
ACKR3	7tm	62	315	2e-50
ACKR4	7tm	58	303	1.8e-48
ACLY	ATP-grasp	52	207	0.0001
ACLY	Citrate_bind	244	420	2.4e-90
ACLY	Citrate_synt	841	884	1.7
ACLY	Citrate_synt	887	1081	1.1e-19
ACLY	CoA_binding	496	600	1.1e-11
ACLY	Ligase_CoA	660	784	2.2e-13
ACMSD	Amidohydro	3	330	2.6e-73
ACO1	Aconitase	66	564	8.4e-176
ACO1	Aconitase_C	693	818	3e-45
ACO2	Aconitase	67	503	1.5e-151
ACO2	Aconitase_C	583	711	5.3e-48
ACOD1	MmgE_PrpD	8	251	3.8e-81
ACOD1	MmgE_PrpD_C	274	447	8.2e-36
ACOT11	4HBT	234	303	1.2e-11
ACOT11	4HBT	67	133	3.2e-07
ACOT11	START	385	588	3.5e-44
ACOT12	4HBT	197	270	1e-10
ACOT12	4HBT	28	97	1.5e-10
ACOT12	START	356	512	9.2e-14
ACOT13	4HBT	53	125	9.5e-17
ACOT1	BAAT_C	204	411	1e-90
ACOT1	Bile_Hydr_Trans	16	140	3.7e-38
ACOT2	BAAT_C	266	473	1.1e-90
ACOT2	Bile_Hydr_Trans	78	202	3e-38
ACOT4	BAAT_C	203	411	8.8e-86
ACOT4	Bile_Hydr_Trans	17	140	1.2e-39
ACOT6	BAAT_C	1	197	2.6e-76
ACOT7	4HBT	242	312	4e-16
ACOT7	4HBT	69	149	6.4e-14
ACOT7L	4HBT	165	232	4.4e-09
ACOT7L	4HBT	4	70	0.0014
ACOT7	NINJA_B	185	208	0.013
ACOT8	4HBT	48	308	1.1e-64
ACOT9	4HBT	114	192	0.45
ACOT9	4HBT	309	373	0.0086
ACOX1	ACOX	480	653	1e-62
ACOX1	Acyl-CoA_dh	361	435	0.025
ACOX1	Acyl-CoA_dh_M	136	244	1.3e-12
ACOX1	Acyl-CoA_ox_N	15	133	4e-33
ACOX2	ACOX	496	675	2.2e-61
ACOX2	Acyl-CoA_dh	389	450	0.015
ACOX2	Acyl-CoA_dh_M	151	260	3.8e-09
ACOX2	Acyl-CoA_ox_N	32	148	2.1e-27
ACOX3	ACOX	511	687	5.3e-52
ACOX3	Acyl-CoA_dh	301	460	0.00057
ACOX3	Acyl-CoA_dh_M	155	266	6.8e-15
ACOXL	ACOX	434	544	5.1e-11
ACOXL	Acyl-CoA_dh	228	389	4.5e-13
ACOXL	Acyl-CoA_dh_M	90	197	2e-13
ACP1	LMWPc	9	154	3.8e-53
ACP2	His_Phos	33	329	1.6e-32
ACP3	His_Phos	34	54	0.043
ACP3	His_Phos	60	331	5.4e-30
ACP4	His_Phos	32	308	1.9e-21
ACP5	Metallophos	26	243	6.6e-23
ACP6	His_Phos	49	378	4.3e-22
ACP7	Metallophos	135	337	3.4e-25
ACP7	Metallophos_C	362	423	1.7e-17
ACP7	Pur_ac_phosph_N	32	124	1.3e-15
ACRBP	Kazal	475	502	0.0024
ACRBP	PBP_sp32	1	240	1.8e-161
ACR	Trypsin	43	285	3.1e-69
ACSBG1	AMP-binding	111	572	1.3e-99
ACSBG2	AMP-binding	57	518	1.3e-84
ACSF2	AMP-binding	79	515	2e-96
ACSF2	AMP-binding_C	524	599	1.3e-16
ACSF3	AMP-binding	49	478	7.6e-83
ACSF3	AMP-binding_C	488	563	3.1e-19
ACSL1	AMP-binding	115	562	2.2e-111
ACSL1	AMP-binding_C	572	631	1e-05
ACSL3	AMP-binding	129	587	1.5e-103
ACSL3	AMP-binding_C	596	638	5.7e-05
ACSL4	AMP-binding	120	578	1.6e-104
ACSL4	AMP-binding_C	587	672	9e-05
ACSL5	AMP-binding	100	547	2.3e-113
ACSL5	AMP-binding_C	557	609	0.00051
ACSL6	AMP-binding	115	562	2e-109
ACSL6	AMP-binding_C	572	612	1.5e-05
ACSM1	AMP-binding	72	473	5.4e-70
ACSM1	AMP-binding_C	483	563	9.2e-25
ACSM2A	AMP-binding	75	468	5.5e-66
ACSM2A	AMP-binding_C	477	557	1.4e-21
ACSM2B	AMP-binding	75	468	5.2e-66
ACSM2B	AMP-binding_C	477	557	5.7e-21
ACSM3	AMP-binding	72	482	1.4e-77
ACSM3	AMP-binding_C	492	572	1.3e-23
ACSM4	AMP-binding	69	477	7.1e-81
ACSM4	AMP-binding_C	486	566	5.5e-22
ACSM5	AMP-binding	69	477	8.7e-80
ACSM5	AMP-binding_C	486	566	2.3e-22
ACSM6	AMP-binding	76	472	4.3e-61
ACSS1	ACAS_N	58	114	1.1e-13
ACSS1	AMP-binding	116	555	3.3e-90
ACSS1	AMP-binding_C	564	642	5.1e-22
ACSS2	ACAS_N	47	107	4.8e-19
ACSS2	AMP-binding	115	574	5.9e-99
ACSS2	AMP-binding_C	583	661	2e-24
ACSS3	ACAS_N	62	116	7.8e-20
ACSS3	AMP-binding	123	561	3.2e-80
ACSS3	AMP-binding_C	571	649	1.4e-21
ACTA1	Actin	5	377	9.7e-149
ACTA2	Actin	6	377	1.6e-148
ACTB	Actin	3	375	1.3e-150
ACTBL2	Actin	5	376	1.1e-146
ACTC1	Actin	5	377	6.2e-149
ACTG1	Actin	3	375	4.3e-151
ACTG2	Actin	4	376	7.1e-148
ACTL10	Actin	2	239	4.6e-47
ACTL6A	Actin	8	428	9.1e-142
ACTL6B	Actin	8	425	2.4e-139
